source,id,task,context,response_limit,first_pass,recorded_success,response_correct,eventual_success,correct_contents_and_format,undo_restored,seconds,inference_calls,generated_tokens,maximum_prompt_tokens,maximum_response_tokens,finish_reasons,discarded_speculative_calls,response_recoveries,fallback_notices,tool_errors_or_duplicates,outcome,error
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-1,core,8192,1024,0,1,1,1,1,1,5.935,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-2,core,8192,1024,0,1,1,1,1,1,5.333,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-3,core,8192,1024,0,1,1,1,1,1,5.311,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-4,core,8192,1024,0,1,1,1,1,1,5.318,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-5,core,8192,1024,0,1,1,1,1,1,5.306,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-6,core,8192,1024,0,1,1,1,1,1,5.368,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-7,core,8192,1024,0,1,1,1,1,1,5.355,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-8,core,8192,1024,0,1,1,1,1,1,5.379,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-9,core,8192,1024,0,1,1,1,1,1,5.393,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-10,core,8192,1024,0,1,1,1,1,1,5.311,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-11,core,8192,1024,0,1,1,1,1,1,5.324,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
ai-file-baseline-core-8192.jsonl,baseline-8192-1024-core-12,core,8192,1024,0,1,1,1,1,1,5.311,3,246,1645,124,"{""stop"": 1, ""tool_calls"": 2}",,0,0,1,recovered_success,
